Name,Author,Language,Date(started),Date(finished),Rating(1-10)
Ham on Rye,Henry Charles Bukowski,English (Audiobook),06.04.2020,01.05.2020,8
Me Talk Pretty One Day,David Sedaris,English (Audiobook),02.05.2020,10.05.2020,8
The shadow of the wind,Carlos Luis Zafon,English,26.07.2023,07.08.2023,8
The angel's game,Carlos Luis Zafon,English,20.07.2023,26.07.2023,8
The prisoner of heaven,Carlos Luis Zafon,English,07.08.2023,12.08.2023,7
The labyrinth of the spritis,Carlos Luis Zafon,English,?,?,?
Disgrace,J.M.Coetzee,English,05.03.2024,10.03.2024,?
Ask the dust,Jan Fante,Persian (Audiobook),14.03.2024,15.03.2024,9
Baron on the Tree,Italo Calvino,Persian (Audiobook),16.03.2024,26.03.2024,8
Stories,Ted Chiang,English,28.03.2024,07.04.2024,6
The Clown,Heinrich Böll,Persian (Audiobook),27.03.2024,08.04.2024,8
Pulp,Henry Charles Bukowski,Persian (Audiobook),09.04.2024,17.04.2024,7
Brief answers to big questions,Stephan Hawkaing,Persian (Audiobook),17.04.2024,20.04.2024,8
The Girl Who Saved the King of Sweden,Jonas Jonasson,Persian (Audiobook),20.04.2024,?,4
One hundred years of solitude,Gabriel Garcias Marquez,Persian (Audiobook),01.05.2024,14.05.2024,8
A fraction of the whole,Steve Toltz,Persian (Audiobook),12.05.2024,29.05.2024,7
Cheraghha ro man khamoosh mikonam,Zoya Pirzad,Persian (Audiobook),29.05.2024,04.06.2024,7
The short stories,Jorge Borges,Persian and English,04.06.2024,24.06.2024,9
Norwegian Wood,Haruki Murakami,Persian (Audiobook),11.06.2024,20.06.2024,6.5
Kafka on the shore,Haruki Murakami, Persian (Audiobook) and English,21.06.2024,03.07.2024,7
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,Persian (Audiobook) and English,08.07.2024,11.07.2024,8
First Person Singular,Haruki Murakami, Persian (Audiobook) and English,24.07.2024,?,?
The Wind-Up Bird Chronicle,Haruki Murakami,?,?,?,?
The Remains of the Day,Ishiguro,Persian (Audiobook),12.07.2024,14.07.2024,8
Short stories of Carver,Raymund Carver,Persian (Audiobook) and English,14.07.2024,?,?
Corrections,Jonathan Franzen,Persian and English,15.07.2024,24.07.2024,9
Cantoras,Carolina de Robertis,Engish (Audiobook),04.07.2024,11.07.2024,6
Père Goriot,Honoré de Balzac,?,?,?,?
The house of the spirits,Isabel Allende,English,25.10.2023,?,?
Great Expectations,Charles Dickens,English,13.08.2023,?,?
Pedro Paramo,Juan Rulfo,?,?,?,?
?,cedaris,?,?,?,?
bamdad khomar,fataneh haj seyyed javai,?,?,?,?
?,Milan Kundera,?,?,?,?
?,Victor Hugo,?,?,?,?
The Count of Monte Cristo,Alexander Duma,?,?,?,?
Catar de mio Cid,Unknown,?,?,?,?
Odysse,James Joyse,maybe persian,?,?,?
Short Stories,James Joyce,?,?,?,?
Necromicon,H. P. Lovecraft,?,?,?,?
Madam Bovary,?,?,?,?,?
nofoosh morde,gogol,?,?,?,?
Candide,Voltaire,?,?,?,?
Die Therapie,Sebastian Fitzek,?,?,?,?
,Isabel Allende,?,?,?,?
?,Federico Garcia Lorca,?,?,?,?
Don Quixote,Cervantes,?,?,?,?
?,Mansour Zabetian,?,?,?,?
Khaterate khane arvah,dostoyefsky,?,?,?,?
jen zadegan,Dostoyefsky,?,?,?,?
Brothers Karamazov Manga,Dostoyefsky,Spanish,05.09.2023,?,?
Illiad,Homer,?,?,?,?
Odyssey,Homer,?,?,?,?
?,Mario Vargas Llosa,?,?,?,?
Myron Bolitar series,?,?,?,?,?
Shazdeh Ehtejab,Golshiri,?,?,?,?
safar be entehaye shab,selin,?,?,?,? 
Cathedral,Raymond Carver,?,?,?,?
?,vonnegat,?,?,?,?
?,orhan pamuk,?,?,?,?
?,Romain Rolland,?,?,?,?
